Identifiant,"Date (AAAA/MM/JJ)",Heure,Nom,"Région épicentrale",Choc,"X RGF93/L93","Y RGF93/L93","Latitude en WGS 84","Longitude en WGS 84","Intensité épicentrale","Qualité intensité épicentrale"
160001,1014/,,"ANGOUMOIS (ANGOULEME)",CHARENTES,,478075.43,6509611.52,45.65,0.15,7,"INFORMATION ISOLÉE"
580001,1079/07/17,,"PUISAYE ?",NIVERNAIS,,716280.87,6722202.41,47.60,3.22,6,ARBITRAIRE
490007,1098/10/04,,"LOUDUNOIS ?",POITOU,,464575.03,6662003.94,47.02,-0.10,6,ARBITRAIRE
760009,1142/01/07,"6 h","BASSE-VALLEE DE LA SEINE (ROUEN)",NORMANDIE,,550202.53,6933511.42,49.48,0.93,5,INCERTAINE
30001,1155/01/18,"2 h","PLATEAUX JURASSIENS (LONS-LE-SAULNIER ?)",FRANCHE-COMTE,,915580.89,6650143.40,46.92,5.83,7,ARBITRAIRE
490013,1169/10/09,"6 h","VAL D'ANJOU (ANGERS)",ANJOU,,432668.50,6713378.05,47.47,-0.55,5.5,"INFORMATION ISOLÉE"
260201,1173/01/20,,"TRICASTIN (CLANSAYES)",DAUPHINE,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",844757.94,6364735.60,44.37,4.82,3,"INFORMATION ISOLÉE"
300001,1186/03/22,,"GARRIGUES (UZES)",CEVENNES,,817560.22,6327128.64,44.03,4.47,7.5,"ASSEZ SURE"
870001,1216/03/03,"1 h","RIBERACOIS (S-W. LA ROCHEBEAUCOURT ?)",GUYENNE,,492463.02,6473921.88,45.33,0.35,6.5,ARBITRAIRE
680002,1239/09/18,,"PLAINE DE HAUTE-ALSACE (RIBEAUVILLE ?)",ALSACE,,1020560.50,6797613.84,48.20,7.32,7,INCERTAINE
